book_id,genre_id,nb_of_vote
630104,31538,161
630104,31234,45
630104,31365,32
9487,30812,114
9487,30811,45
9487,31007,33
9487,31365,16
6050894,30812,174
6050894,30811,81
6050894,31007,58
39030,31489,626
39030,31234,493
39030,31104,432
39030,31007,422
998,30933,1162
998,31257,910
998,30784,817
998,31008,471
998,31426,327
998,30903,296
998,30932,178
998,31427,114
998,30767,52
998,31323,49
311164,31365,550
311164,31081,316
311164,31084,234
311164,31373,229
311164,31072,198
311164,31007,161
32105,31365,725
32105,31081,395
32105,31373,332
32105,31084,285
32105,31072,252
32105,31007,173
377993,31007,106
377993,30730,26
377993,31053,23
71292,31432,947
71292,31434,319
71292,31429,160
71292,31007,142
71292,31119,112
71292,30874,96
821003,31301,599
821003,30798,384
821003,30831,301
821003,31007,149
24876258,30986,2449
24876258,31406,889
24876258,31007,343
24876258,31392,333
24876258,30767,133
24876258,30710,129
24876258,31393,103
24876258,30707,85
24876258,30990,58
24876258,30999,53
80631,31234,195
80631,31007,146
80631,31489,127
80631,31485,51
81048,30749,81
81048,31257,37
81048,31426,14
81048,30768,10
81048,31124,9
81048,31139,9
7640261,31257,1134
7640261,31391,560
7640261,31087,426
7640261,31440,330
7640261,31323,307
7640261,30745,211
22028,31007,283
22028,31236,112
22028,31489,60
22028,31234,38
176892,30986,1109
176892,30989,132
176892,31007,88
176892,31393,45
176892,30993,43
138811,31087,244
138811,31257,64
138811,30892,47
138811,31220,26
138811,31509,20
138811,31510,19
15990489,31007,653
15990489,30881,151
15990489,31365,118
15990489,31530,114
15990489,30767,102
15990489,30850,86
15990489,30708,61
15990489,30967,44
15990489,30707,43
15990489,31529,30
15743075,31365,357
15743075,31373,330
15743075,31072,187
15743075,30709,155
15743075,30707,69
16116760,31365,184
16116760,31538,172
16116760,30850,92
16116760,31007,89
13549445,31081,91
13549445,31365,39
13549445,31007,28
13549445,31072,25
13549445,31514,23
13549445,31532,21
550844,31104,1714
550844,31007,434
550844,30986,164
550844,31442,159
18523711,30996,249
18523711,31365,198
18523711,31379,182
18523711,30709,107
18523711,31392,67
17234659,31538,617
17234659,31392,414
17234659,31365,318
17234659,30986,295
165782,31007,170
165782,31185,46
165782,30986,35
165782,31365,23
165782,30850,19
23346719,31007,289
23346719,31489,286
23346719,31234,190
23346719,31485,81
23346719,31491,77
274400,31234,896
274400,31081,195
274400,31007,182
274400,31072,90
274400,31240,80
1977834,31007,163
1977834,30874,84
1977834,30964,43
1977834,31149,36
228345,31257,680
228345,31087,111
228345,30856,105
228345,30773,78
228345,31391,74
7831145,31379,793
7831145,30996,670
7831145,31365,669
7831145,31283,282
7831145,30986,278
7831145,30999,244
58893,30986,1984
58893,31538,756
58893,30994,210
58893,31007,206
58893,31543,142
153783,30986,1468
153783,31538,624
153783,31007,161
153783,30994,150
870461,30812,132
870461,30811,60
870461,31007,36
870461,31365,32
870461,30708,10
870461,30850,7
870461,31368,7
870461,31124,6
870461,30707,5
870461,31266,4
286136,31007,53
286136,30710,37
286136,30994,29
286136,30986,22
6419887,31257,732
6419887,30861,289
6419887,30768,264
6419887,30773,211
6419887,31391,184
6419887,30925,70
6419887,30774,69
6419887,30775,52
6419887,31124,45
6419887,30702,36
228244,31532,177
228244,31443,175
228244,31087,163
228244,31257,108
228244,31509,91
228244,30969,76
3004139,31007,174
3004139,31081,170
3004139,31407,112
3004139,30986,55
3004139,31072,37
93729,31538,1291
93729,31365,470
93729,31530,349
93729,31007,322
93729,30850,307
71869,31538,423
71869,31007,159
71869,31509,111
900682,31299,454
900682,30831,302
900682,30702,143
900682,31007,113
900682,31234,105
900682,30917,105
7519640,31257,633
7519640,31509,370
7519640,31510,265
7519640,31087,264
124923,31007,109
124923,31489,37
124923,31485,15
124923,31266,14
